Date,Type,Transaction ID,Received Quantity,Received Currency,Received Cost Basis (USD),Received Wallet,Received Address,Received Tag,Received Comment,Sent Quantity,Sent Currency,Sent Cost Basis (USD),Sent Wallet,Sent Address,Sent Tag,Sent Comment,Fee Amount,Fee Currency,Realized Return (USD),Ignored
06/07/2021 23:47:11,Receive,a8ee2d4435674316263b480779128271f83098b367dc70f14f38faf3c0b73398,0.01000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,,,...,
06/07/2021 23:47:11,Receive,3eda0d148f617ace9130caf1f51bf514606ee38b124123243e5609ca2f98b104,20.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,,,...,,,,,,,...,
06/07/2021 23:51:17,Trade,0xdaac0a29fe9969f63bb431886069a47d78a97f02c97a986371d6fe1cdf3bf8b4,12.00000000,WETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,12.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00072511,ETH,...,
06/07/2021 23:52:45,Send,5d707d3f2ad64f5c4a7c835dc397bd82bb4fab4546cdd2650ce86146572ab2a8,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00056425,ETH,...,
06/07/2021 23:54:16,Send,5872e96ea303657f7bb2e9d0df74e782e586cfa61b29de2d4a971b2e19df49cd,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00060737,ETH,...,
06/08/2021 00:04:59,Trade,0xdf3d109953ed4a7f5abbcc57659222af4217029cc688c98b3b6e197f78ca1598,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00263577,ETH,...,
06/10/2021 06:15:49,Send,0dd20e0729379794afb367ec14994d65e6380d294fbe97438f022a5a6c6da6fc,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00051595,ETH,...,
06/10/2021 06:16:25,Send,0xffc078e1a50876172f28ebdc21a8cbd3a5b2514dab7279d5dce541e69993664f,,,...,,,,,23.45360750,crvRenWBTC,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00334503,ETH,...,
06/10/2021 06:19:16,Send,829a78a44043df3290a67d414b8238365844068405401698ded21264e6b92ffb,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00048907,ETH,...,
06/10/2021 06:21:26,Trade,0xfe244e90d4b426f7b8d6dfb77709294e9c05809d8928f1515f87ce849ccadc42,,,...,,,,,0.00000000,ETH,...,Ethereum Wallet ...00880A - ETH,0x77693Ff03FD85F9181E5e577b8CABfdDaC00880A,,,0.00149565,ETH,...,
